Nom,Prix,Categorie,Qualite_percue,Source
Forza Horizon 6,"69,99€",Meilleures ventes,Pas d'avis,Steam
Counter-Strike 2,Free,Meilleures ventes,"Very Positive - 86% of the 2,533,630 user reviews for this game are positive. -  - The review score for this product is calculated from reviews written in your language based on your preferences.",Steam
Conan Exiles Enhanced,"29,99€",Meilleures ventes,"Mostly Positive - 79% of the 38,008 user reviews for this game are positive. -  - The review score for this product is calculated from reviews written in your language based on your preferences.",Steam
Diablo® IV,"29,99€",Meilleures ventes,"Mostly Positive - 74% of the 18,690 user reviews for this game are positive. -  - The review score for this product is calculated from reviews written in your language based on your preferences.",Steam
Heroes of Might and Magic: Olden Era,"29,99€",Meilleures ventes,"Very Positive - 89% of the 3,467 user reviews for this game are positive. -  - The review score for this product is calculated from reviews written in your language based on your preferences.",Steam
Windrose,"29,99€",Meilleures ventes,"Very Positive - 89% of the 21,071 user reviews for this game are positive. -  - The review score for this product is calculated from reviews written in your language based on your preferences.",Steam
Far Far West,"17,99€",Meilleures ventes,"Overwhelmingly Positive - 97% of the 12,673 user reviews for this game are positive. -  - The review score for this product is calculated from reviews written in your language based on your preferences.",Steam
Farever,"17,99€",Meilleures ventes,"Mostly Positive - 74% of the 1,242 user reviews for this game are positive. -  - The review score for this product is calculated from reviews written in your language based on your preferences.",Steam
Baldur's Gate 3,"44,99€",Meilleures ventes,"Overwhelmingly Positive - 96% of the 440,377 user reviews for this game are positive. -  - The review score for this product is calculated from reviews written in your language based on your preferences.",Steam
Apex Legends™,Free,Meilleures ventes,"Mostly Positive - 76% of the 441,568 user reviews for this game are positive. -  - The review score for this product is calculated from reviews written in your language based on your preferences.",Steam
War Thunder,Free,Meilleures ventes,"Mostly Positive - 74% of the 309,477 user reviews for this game are positive. -  - This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score. -  - The review score for this product is calculated from reviews written in your language based on your preferences.",Steam
EA SPORTS FC™ 26,"40,00€",Meilleures ventes,"Mixed - 46% of the 17,397 user reviews for this game are positive. -  - The review score for this product is calculated from reviews written in your language based on your preferences.",Steam
Rust,"19,99€",Meilleures ventes,"Very Positive - 86% of the 520,337 user reviews for this game are positive. -  - The review score for this product is calculated from reviews written in your language based on your preferences.",Steam
Call of Duty®: Black Ops III,"19,79€",Meilleures ventes,"Very Positive - 90% of the 115,958 user reviews for this game are positive. -  - The review score for this product is calculated from reviews written in your language based on your preferences.",Steam
Everything is Crab: The Animal Evolution Roguelite,"8,99€",Meilleures ventes,Very Positive - 90% of the 754 user reviews for this game are positive.,Steam
Warframe,Free,Meilleures ventes,"Very Positive - 91% of the 292,539 user reviews for this game are positive. -  - This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score. -  - The review score for this product is calculated from reviews written in your language based on your preferences.",Steam
Age of Empires IV: Anniversary Edition,"39,99€",Meilleures ventes,"Very Positive - 86% of the 27,852 user reviews for this game are positive. -  - The review score for this product is calculated from reviews written in your language based on your preferences.",Steam
Dead as Disco,"19,03€",Meilleures ventes,"Overwhelmingly Positive - 95% of the 1,778 user reviews for this game are positive. -  - The review score for this product is calculated from reviews written in your language based on your preferences.",Steam
Slay the Spire 2,"22,99€",Meilleures ventes,"Very Positive - 93% of the 54,287 user reviews for this game are positive. -  - This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score. -  - The review score for this product is calculated from reviews written in your language based on your preferences.",Steam
Summoners War,Free,Meilleures ventes,"Mixed - 66% of the 3,891 user reviews for this game are positive. -  - The review score for this product is calculated from reviews written in your language based on your preferences.",Steam
Heartopia,Free,Meilleures ventes,"Mixed - 59% of the 6,899 user reviews for this game are positive. -  - The review score for this product is calculated from reviews written in your language based on your preferences.",Steam
Crimson Desert,"69,99€",Meilleures ventes,"Very Positive - 86% of the 53,977 user reviews for this game are positive. -  - The review score for this product is calculated from reviews written in your language based on your preferences.",Steam
UNCHARTED™: Legacy of Thieves Collection,"16,49€",Meilleures ventes,"Very Positive - 89% of the 9,610 user reviews for this game are positive. -  - The review score for this product is calculated from reviews written in your language based on your preferences.",Steam
Stellaris,"9,99€",Meilleures ventes,"Very Positive - 86% of the 75,297 user reviews for this game are positive. -  - This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score. -  - The review score for this product is calculated from reviews written in your language based on your preferences.",Steam
R.E.P.O.,"6,64€",Meilleures ventes,"Overwhelmingly Positive - 96% of the 126,608 user reviews for this game are positive. -  - The review score for this product is calculated from reviews written in your language based on your preferences.",Steam
Call of Duty®: Black Ops 7,"43,99€",Meilleures ventes,"Mostly Negative - 35% of the 2,130 user reviews for this game are positive. -  - The review score for this product is calculated from reviews written in your language based on your preferences.",Steam
Path of Exile 2,"27,75€",Meilleures ventes,"Mostly Positive - 75% of the 89,719 user reviews for this game are positive. -  - The review score for this product is calculated from reviews written in your language based on your preferences.",Steam
The Seven Deadly Sins: Origin,Free,Meilleures ventes,"Mixed - 59% of the 3,789 user reviews for this game are positive. -  - The review score for this product is calculated from reviews written in your language based on your preferences.",Steam
Age of Empires II: Definitive Edition,"32,99€",Meilleures ventes,"Overwhelmingly Positive - 95% of the 60,109 user reviews for this game are positive. -  - The review score for this product is calculated from reviews written in your language based on your preferences.",Steam
Euro Truck Simulator 2,"19,99€",Meilleures ventes,"Overwhelmingly Positive - 97% of the 140,691 user reviews for this game are positive. -  - This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score. -  - The review score for this product is calculated from reviews written in your language based on your preferences.",Steam
Mixtape,"17,09€",Meilleures ventes,"Overwhelmingly Positive - 95% of the 1,783 user reviews for this game are positive.",Steam
Dead by Daylight,"19,99€",Meilleures ventes,"Mostly Positive - 79% of the 254,065 user reviews for this game are positive. -  - The review score for this product is calculated from reviews written in your language based on your preferences.",Steam
Cities: Skylines II,"34,99€",Meilleures ventes,"Mixed - 55% of the 32,901 user reviews for this game are positive. -  - The review score for this product is calculated from reviews written in your language based on your preferences.",Steam
Wuthering Waves,Free,Meilleures ventes,"Very Positive - 89% of the 23,892 user reviews for this game are positive. -  - The review score for this product is calculated from reviews written in your language based on your preferences.",Steam
Call to Arms - Gates of Hell: Ostfront,"8,74€",Meilleures ventes,"Very Positive - 86% of the 12,316 user reviews for this game are positive. -  - The review score for this product is calculated from reviews written in your language based on your preferences.",Steam
Battlefield™ 6,"69,99€",Meilleures ventes,"Mixed - 68% of the 142,399 user reviews for this game are positive. -  - The review score for this product is calculated from reviews written in your language based on your preferences.",Steam
Tom Clancy's Rainbow Six Siege,Free,Meilleures ventes,"Very Positive - 82% of the 777,769 user reviews for this game are positive. -  - The review score for this product is calculated from reviews written in your language based on your preferences.",Steam
REANIMAL,"29,99€",Meilleures ventes,"Very Positive - 82% of the 4,701 user reviews for this game are positive. -  - The review score for this product is calculated from reviews written in your language based on your preferences.",Steam
Gamble With Your Friends,"7,79€",Meilleures ventes,"Very Positive - 87% of the 2,887 user reviews for this game are positive. -  - The review score for this product is calculated from reviews written in your language based on your preferences.",Steam
Grand Theft Auto V Enhanced,"29,99€",Meilleures ventes,"Mostly Positive - 79% of the 59,977 user reviews for this game are positive. -  - The review score for this product is calculated from reviews written in your language based on your preferences.",Steam
Star Wars Outlaws,"17,49€",Meilleures ventes,"Mostly Positive - 71% of the 6,531 user reviews for this game are positive. -  - The review score for this product is calculated from reviews written in your language based on your preferences.",Steam
Alabaster Dawn,"21,24€",Meilleures ventes,Overwhelmingly Positive - 95% of the 588 user reviews for this game are positive.,Steam
PRAGMATA,"59,99€",Meilleures ventes,"Overwhelmingly Positive - 97% of the 12,091 user reviews for this game are positive. -  - The review score for this product is calculated from reviews written in your language based on your preferences.",Steam
Crusader Kings III,"49,99€",Meilleures ventes,"Very Positive - 90% of the 48,720 user reviews for this game are positive. -  - This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score. -  - The review score for this product is calculated from reviews written in your language based on your preferences.",Steam
Foxhole,"24,99€",Meilleures ventes,"Mostly Positive - 78% of the 28,848 user reviews for this game are positive. -  - The review score for this product is calculated from reviews written in your language based on your preferences.",Steam
Phasmophobia,"13,29€",Meilleures ventes,"Overwhelmingly Positive - 95% of the 352,808 user reviews for this game are positive. -  - The review score for this product is calculated from reviews written in your language based on your preferences.",Steam
THE FINALS,Free,Meilleures ventes,"Very Positive - 80% of the 151,376 user reviews for this game are positive. -  - The review score for this product is calculated from reviews written in your language based on your preferences.",Steam
007 First Light,"69,99€",Meilleures ventes,Pas d'avis,Steam
HELLDIVERS™ 2,"39,99€",Meilleures ventes,"Very Positive - 80% of the 624,250 user reviews for this game are positive. -  - The review score for this product is calculated from reviews written in your language based on your preferences.",Steam
Hearts of Iron IV,"14,99€",Meilleures ventes,"Very Positive - 91% of the 121,072 user reviews for this game are positive. -  - This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score. -  - The review score for this product is calculated from reviews written in your language based on your preferences.",Steam
